experiment_id,gene,missing_all,missing_labelled,missing_interior,missing_boundary,largest_connected_gap,slab_score,intensity_score
73992939,Arhgap39,0.385392,0.0842453,0.0786695,0.119465,1409,0.878477,0.318156
1369,Lhx5,0.469202,0.0981432,0.0769217,0.232191,2383,0.136224,0.0826314
73635989,Fndc5,0.351625,0.0262552,0.0210656,0.0590354,1145,0.0450387,0.179917
75042252,Acot13,0.369218,0.0651853,0.0607315,0.0933178,2047,0.721363,0.289056
77869869,Relt,0.32522,0.0580695,0.0561136,0.0704242,2650,0.791907,0.160729
72472752,Fam19a4,0.389817,0.180451,0.17708,0.201743,3737,1,0.117801
72128754,Slc22a23,0.448684,0.147048,0.144626,0.162347,5037,0.99684,0.192869
74819693,Lyz1,0.371396,0.0278912,0.02136,0.0691458,1145,0.0450387,0.112221
72340132,Kcnj3,0.375576,0.0405661,0.0348088,0.076932,921,0.563246,0.273555
73817437,Rgs20,0.346867,0.0175829,0.0117011,0.0547356,626,0.0347568,0.253995
73817422,Galnt9,0.376812,0.0370876,0.0305589,0.0783266,1658,0.0498643,0.223232
74363340,Zfhx2os,0.396489,0.0876285,0.0814843,0.126438,2701,1,0.327995
73521001,Pak1,0.403129,0.0642164,0.0537771,0.130157,1361,1,0.272555
71836872,Chst1,0.432742,0.146683,0.134599,0.22301,4434,1,0.0694899
75749741,Clcn5,0.404529,0.119824,0.116661,0.139802,2624,1,0.114839
1359,Gjb2,0.472258,0.0849759,0.0681827,0.191052,1409,1,0.39873
75774108,Polr1e,0.428474,0.137947,0.134139,0.161999,3385,1,0.243571
71358579,Cd200,0.358259,0.0373418,0.0305773,0.0800697,1658,0.0498643,0.300156
70634297,Pcgf6,0.35573,0.025874,0.0210656,0.0562464,1145,0.0450387,0.292912
112647104,Mcl1,0.412732,0.150193,0.145325,0.180941,3775,0.998309,0.321873
75650861,Xlr3a,0.371528,0.0411697,0.0341465,0.0855317,1409,0.236828,0.162278
76135740,Nfxl1,0.3903,0.109389,0.102292,0.154213,1890,0.985152,0.492047
73635773,Stk24,0.430131,0.119157,0.114987,0.145497,2170,1,0.156737
76135799,Reps2,0.367504,0.070125,0.0628841,0.115863,1671,0.880993,0.279536
74958463,Tsc22d2,0.350282,0.0679172,0.06362,0.095061,1292,1,0.189352
74749928,Rpl8,0.38548,0.0466494,0.0398315,0.0897153,882,0.887047,0.268683
73931417,Flrt2,0.455318,0.209978,0.204879,0.242185,4434,1,0.217604
74511849,Rgs10,0.339041,0.0125161,0.00748795,0.0442766,389,0.0532428,0.215117
74363335,Prune2,0.414609,0.102464,0.0992751,0.122603,1409,1,0.313486
70928250,Tmc6,0.395039,0.026954,0.0211024,0.0639163,1145,0.0450387,0.0442009
75146001,Cdc42ep3,0.416668,0.143474,0.135353,0.19477,1409,1,0.389007
544328,Phyhip,0.359847,0.059372,0.0504471,0.115747,2716,0.0370875,0.33869
67881549,Abcb6,0.441717,0.146413,0.140542,0.183498,2351,1,0.261549
71924402,Gabra4,0.408176,0.0752077,0.0696913,0.110052,1476,0.331086,0.109227
1084,Txnip,0.430752,0.0719198,0.0537587,0.186636,1699,0.69685,0.0319813
73931624,Peak1,0.449443,0.182087,0.174578,0.229518,7727,0.232133,0.304591
77413702,Pcp2,0.452337,0.169793,0.154027,0.269378,1799,1,0.0484939
74357560,Rps15a,0.394374,0.0735717,0.0686426,0.104707,1658,1,0.212545
1035,Syt7,0.495644,0.0752553,0.0517349,0.223823,1612,0.0977017,0.111061
74988734,Nfic,0.355661,0.0510014,0.0451669,0.0878559,1658,0.540364,0.447389
224,Cd44,0.438711,0.12551,0.111068,0.216734,4001,0.434729,0.0945988
71836887,Pak3,0.37454,0.0458394,0.0413401,0.0742592,1347,1,0.348468
71924491,LOC381355,0.432503,0.16182,0.157817,0.187101,1931,1,0.624305
411,Extl3,0.514938,0.208151,0.176804,0.406159,6645,0.160631,0.0227471
77414911,Edc3,0.445414,0.220429,0.216635,0.244393,4919,1,0.0251219
74957911,Usp22,0.373498,0.0972061,0.0950436,0.110866,1658,1,0.148474
512,Gnb2,0.432296,0.050652,0.0348272,0.15061,1224,0.197631,0.13986
2587,Slc25a1,0.427651,0.0408996,0.024966,0.141546,882,0.0658395,0.293112
72340180,Kctd17,0.40028,0.0652012,0.0562056,0.122022,1512,0.387599,0.434397
67855419,E2f4,0.465655,0.187011,0.181569,0.221383,2828,0.690719,0.282943
121097,Ssr2,0.432943,0.0893756,0.0740516,0.186171,2338,0.991758,0.201936
77868800,Rps5,0.35615,0.0775425,0.0693785,0.129111,1762,0.446537,0.1271
70634406,Ublcp1,0.357958,0.021649,0.0162822,0.0555491,882,0.0427096,0.291595
72283790,Galr1,0.345857,0.0537175,0.047669,0.0919233,1658,0.69488,0.0769794
2045,Arntl,0.374528,0.0604838,0.0516061,0.11656,1662,0.446193,0.227721
76135828,Tmem159,0.435039,0.135993,0.133826,0.14968,3815,1,0.171942
74724739,Grid1,0.416693,0.115901,0.11289,0.134922,2248,1,0.272414
72472751,C030034I22Rik,0.488495,0.25793,0.259889,0.245555,2571,0.968586,0.641407
74581383,Ackr1,0.388424,0.0654076,0.0585789,0.108542,1842,0.55945,0.2307
74988762,Klhl9,0.389685,0.079115,0.0701144,0.135967,1128,0.608594,0.303167
74658087,Mtmr6,0.407441,0.0715863,0.0625713,0.12853,1145,0.992631,0.176076
73929579,Trp73,0.363086,0.0320844,0.0259595,0.0707728,1409,0.0537114,0.395671
71924385,Adamts2,0.481259,0.156133,0.142731,0.24079,3829,0.80838,0.0963312
79591685,Slc6a1,0.372827,0.0846265,0.0802517,0.11226,1658,0.691095,0.162961
75080250,Ybx2,0.381633,0.12011,0.113423,0.162347,1814,0.877493,0.163976
71249744,Ppp4r4,0.394255,0.0478089,0.0398315,0.0981987,1409,1,0.296827
74511737,Glp1r,0.383396,0.0897568,0.0855319,0.116444,1658,1,0.0849382
73994672,Il1rapl2,0.486487,0.213631,0.210601,0.232772,4648,1,0.0835153
74958547,Palm3,0.442382,0.199066,0.199948,0.193492,1361,1,0.245616
2220,Fkbp10,0.458155,0.0933782,0.082533,0.161883,1944,1,0.401827
75084144,Serpinb2,0.36736,0.0535269,0.0487729,0.0835561,1409,1,0.214303
72472774,Dnah9,0.367837,0.0858495,0.0793318,0.127019,1145,1,0.139301
77280559,E330014M11Rik*,0.392365,0.0844359,0.0791662,0.117722,1658,1,0.236271
67881553,Clns1a,0.428449,0.0419162,0.0301726,0.116095,882,1,0.358588
74724511,Tdrp,0.442018,0.150399,0.139916,0.216618,1379,1,0.190644
75651213,Chrna6,0.391844,0.135167,0.134618,0.13864,5381,0.751397,0.123196
71020443,Ebf4,0.362866,0.0329738,0.026033,0.0768158,1145,0.146997,0.0460015
70805934,Loxl1,0.374547,0.0548135,0.0486625,0.0936665,1417,0.595726,0.515475
74641310,Kcnh3,0.430288,0.146095,0.142584,0.168274,2780,1,0.342504
73615803,Ntng2,0.365923,0.0516844,0.0448541,0.0948286,2110,0.24454,0.178973
71717570,Gm1125,0.371465,0.0325609,0.026125,0.0732132,1409,0.0537114,0.166842
2171,E2f1,0.396765,0.0523039,0.0378629,0.143521,1145,0.0543993,0.159164
72119638,Cacna1h,0.407824,0.0521292,0.0469515,0.0848344,1361,0.99855,0.309781
72472738,Ptpdc1,0.303811,0.0418368,0.0358207,0.0798373,1658,0.867868,0.0745737
73817440,Tnnc1,0.356998,0.048333,0.0434559,0.07914,1145,0.693055,0.302155
71250306,Sowaha,0.474003,0.152258,0.141554,0.219872,2478,1,0.407039
77280424,Plxna2,0.363845,0.0588796,0.0529308,0.0964555,1409,1,0.223166
70743869,Tmem41a,0.385668,0.030226,0.0238621,0.0704242,1019,1,0.268811
73931413,Pdcd4,0.411552,0.11606,0.114932,0.123184,2740,0.918005,0.164086
2203,Exosc1,0.396119,0.0524627,0.0376605,0.145962,1091,1,0.326731
74988740,Slc25a39,0.399765,0.106943,0.0976561,0.165601,1890,0.935572,0.213564
